#{"t_start": 1787334549.554027, "env_id": "None"}
r,l,t
3.95,5,2.901673
-0.03,3,2.902669
-0.01,1,2.903066
-0.04,4,2.904833
1.92,8,2.907903
3.91,9,2.910809
-0.02,2,2.911813
-0.01,1,2.91226
5.92,8,2.915568
3.95,5,2.917277
1.94,6,2.919149
-0.01,1,2.919533
-0.01,1,2.919929
-0.01,1,2.920302
1.96,4,2.921588
-0.01,1,2.922
-0.03,3,2.922978
-0.03,3,2.923945
3.95,5,2.925976
3.95,5,2.927533
1.96,4,2.928776
3.93,7,2.930882
-0.02,2,2.931564
-0.04,4,2.932842
-0.02,2,2.93351
-0.03,3,2.935002
1.96,4,2.936422
1.95,5,2.938354
-0.03,3,2.939871
1.94,6,3.024114
-0.01,1,3.024795
3.94,6,3.027536
5.93,7,3.029823
1.97,3,3.030936
-0.01,1,3.031371
3.93,7,3.034245
-0.01,1,3.034702
3.93,7,3.037652
0.96,4,3.039059
-0.02,2,3.039772
-0.01,1,3.040169
5.9,10,3.043609
-0.01,1,3.044038
-0.01,1,3.044532
13.84,16,3.049879
1.92,8,3.074012
1.95,5,3.075875
3.93,7,3.082778
1.94,6,3.08514
3.93,7,3.087815
-0.01,1,3.08825
3.94,6,3.090347
1.97,3,3.091336
3.94,6,3.093564
1.97,3,3.094619
-0.02,2,3.095545
-0.01,1,3.096145
1.95,5,3.195958
-0.01,1,3.196441
1.96,4,3.197797
1.96,4,3.199093
1.97,3,3.200652
-0.02,2,3.201468
-0.03,3,3.202522
3.95,5,3.204156
1.96,4,3.205706
-0.02,2,3.206471
-0.02,2,3.207194
1.97,3,3.208366
-0.01,1,3.208912
-0.02,2,3.209803
13.9,10,3.213087
-0.01,1,3.2135
-0.03,3,3.21452
-0.02,2,3.215214
-0.01,1,3.215606
-0.02,2,3.216359
-0.01,1,3.216873
5.9,10,3.220215
-0.02,2,3.220923
1.97,3,3.221915
1.97,3,3.222915
-0.01,1,3.223306
1.95,5,3.224997
-0.02,2,3.225801
-0.01,1,3.226338
-0.02,2,3.227102
5.93,7,3.229493
3.93,7,3.231763
5.91,9,3.234851
1.95,5,3.237051
3.92,8,3.239776
1.95,5,3.241457
-0.02,2,3.319568
1.97,3,3.320652
-0.02,2,3.32135
3.94,6,3.3232
-0.02,2,3.323885
-0.03,3,3.32485
5.92,8,3.32727
-0.01,1,3.327648
1.97,3,3.329323
-0.01,1,3.329899
-0.03,3,3.33113
5.92,8,3.334224
5.93,7,3.336472
-0.01,1,3.336865
-0.02,2,3.337555
-0.02,2,3.338423
1.97,3,3.33986
5.91,9,3.343769
1.96,4,3.345445
1.97,3,3.346899
5.91,9,3.34998
1.96,4,3.351554
-0.02,2,3.352288
3.93,7,3.354463
3.93,7,3.356621
1.96,4,3.357893
5.91,9,3.36183
1.95,5,3.363632
1.97,3,3.364679
0.97,3,3.365717
-0.01,1,3.366114
3.95,5,3.438887
-0.02,2,3.43966
1.95,5,3.441305
5.93,7,3.443507
-0.01,1,3.443911
1.97,3,3.444912
-0.01,1,3.44534
1.96,4,3.446624
1.96,4,3.448386
1.97,3,3.449596
-0.04,4,3.451296
1.97,3,3.452417
1.97,3,3.453475
5.93,7,3.455716
-0.01,1,3.456113
3.95,5,3.457761
1.97,3,3.458865
-0.01,1,3.459299
-0.05,5,3.460925
-0.01,1,3.46133
-0.01,1,3.461726
-0.01,1,3.462112
1.96,4,3.46343
3.93,7,3.465632
-0.01,1,3.466033
1.97,3,3.467162
1.96,4,3.468683
1.96,4,3.470133
3.93,7,3.472326
3.91,9,3.475186
-0.01,1,3.475681
3.92,8,3.478232
3.94,6,3.480177
3.91,9,3.550427
-0.01,1,3.550969
-0.01,1,3.551436
-0.01,1,3.551884
3.94,6,3.553878
-0.01,1,3.554312
-0.02,2,3.555003
1.97,3,3.556007
-0.03,3,3.557046
-0.04,4,3.558544
3.95,5,3.56034
-0.01,1,3.560757
1.95,5,3.562377
3.92,8,3.565649
3.95,5,3.567613
1.97,3,3.569553
1.97,3,3.572515
4.91,9,3.581982
3.95,5,3.584235
1.96,4,3.593776
-0.03,3,3.59671
1.97,3,3.615368
5.93,7,3.623348
3.93,7,3.641304
1.95,5,3.646498
5.93,7,3.648895
-0.01,1,3.650456
1.95,5,3.653681
3.93,7,3.656105
-0.02,2,3.656892
1.96,4,3.658623
1.95,5,3.781859
3.94,6,3.784436
1.97,3,3.785851
-0.02,2,3.786604
3.94,6,3.78854
1.97,3,3.789569
-0.01,1,3.789985
5.93,7,3.79251
1.97,3,3.794178
-0.01,1,3.794629
-0.01,1,3.795037
-0.02,2,3.795738
-0.01,1,3.796128
1.95,5,3.797727
-0.01,1,3.798119
0.97,3,3.799118
1.97,3,3.800398
5.92,8,3.804645
-0.01,1,3.80515
1.97,3,3.806363
3.91,9,3.810134
3.93,7,3.812419
3.94,6,3.814304
1.95,5,3.815863
1.93,7,3.819965
3.94,6,3.823962
13.91,9,3.828331
3.94,6,3.830345
-0.01,1,3.830746
3.95,5,3.832306
1.93,7,3.906778
-0.01,1,3.907274
-0.01,1,3.907666
1.96,4,3.908991
-0.02,2,3.909727
1.97,3,3.910719
1.97,3,3.911701
1.95,5,3.913294
5.92,8,3.916245
3.93,7,3.91889
3.94,6,3.920861
1.95,5,3.922445
1.97,3,3.923449
1.96,4,3.924725
1.96,4,3.926135
5.92,8,3.928558
1.96,4,3.929817
5.92,8,3.93221
