#{"t_start": 1787335567.338359, "env_id": "None"}
r,l,t
3.95,5,7.17411
1.94,6,7.175942
1.97,3,7.176899
-0.04,4,7.178143
5.92,8,7.180598
1.97,3,7.181558
1.97,3,7.1825
5.92,8,7.184867
1.97,3,7.18584
1.97,3,7.186788
1.97,3,7.187734
13.89,11,7.19102
-0.01,1,7.191407
1.94,6,7.193211
1.97,3,7.194165
1.96,4,7.195394
3.91,9,7.1981
1.94,6,7.199899
1.97,3,7.200842
1.97,3,7.201782
3.9,10,7.204695
3.95,5,7.206244
5.91,9,7.293229
1.96,4,7.294575
1.97,3,7.295539
1.97,3,7.296502
3.95,5,7.298039
3.95,5,7.299585
1.95,5,7.301091
1.94,6,7.302886
1.93,7,7.30496
13.89,11,7.308622
-0.01,1,7.30914
1.91,9,7.311845
1.96,4,7.313076
3.94,6,7.314857
1.97,3,7.315792
13.91,9,7.318389
1.97,3,7.31933
1.94,6,7.321101
1.94,6,7.322871
1.95,5,7.324396
5.93,7,7.326445
3.93,7,7.328502
3.95,5,7.329996
13.91,9,7.414811
1.94,6,7.416685
1.92,8,7.418962
5.93,7,7.42096
1.93,7,7.423383
1.92,8,7.426023
13.91,9,7.428928
1.95,5,7.430772
1.97,3,7.431832
1.95,5,7.433593
3.95,5,7.435362
1.94,6,7.437289
1.96,4,7.438645
1.96,4,7.43995
1.97,3,7.440936
3.9,10,7.444874
3.95,5,7.44647
1.93,7,7.448581
-0.03,3,7.449526
-0.02,2,7.450186
1.97,3,7.451123
3.92,8,7.453496
1.96,4,7.454712
-0.02,2,7.455362
5.92,8,7.536308
13.91,9,7.538948
1.93,7,7.540935
1.97,3,7.541836
3.91,9,7.54472
3.95,5,7.546348
-0.06,6,7.548164
1.97,3,7.549116
1.97,3,7.550072
1.97,3,7.551025
-0.02,2,7.551683
1.95,5,7.553199
-0.02,2,7.553856
3.95,5,7.555344
1.97,3,7.556284
3.94,6,7.558074
3.95,5,7.559572
5.92,8,7.561914
5.91,9,7.564546
1.97,3,7.565475
3.95,5,7.566974
1.96,4,7.568179
-0.02,2,7.568826
1.97,3,7.569748
1.96,4,7.570962
5.93,7,7.649043
3.95,5,7.650714
1.97,3,7.651645
3.91,9,7.654183
3.95,5,7.655632
1.97,3,7.656547
3.95,5,7.657987
1.97,3,7.659194
1.97,3,7.66025
1.97,3,7.661224
1.95,5,7.662771
3.92,8,7.665103
3.95,5,7.666617
3.2,80,7.995693
1.97,3,7.996702
1.96,4,7.997927
1.95,5,7.999417
5.91,9,8.002056
3.94,6,8.003825
3.95,5,8.005301
3.95,5,8.006794
1.97,3,8.007715
1.95,5,8.009218
1.97,3,8.010152
1.96,4,8.011365
3.95,5,8.012849
1.97,3,8.01379
1.97,3,8.014722
1.94,6,8.016479
1.97,3,8.017403
-0.04,4,8.018745
1.96,4,8.020065
1.97,3,8.021048
3.95,5,8.022632
3.95,5,8.024187
1.97,3,8.025141
-0.01,1,8.025516
5.9,10,8.02845
3.95,5,8.030035
5.9,10,8.112143
3.95,5,8.113845
1.94,6,8.115683
5.9,10,8.118608
1.95,5,8.120333
3.95,5,8.121982
3.95,5,8.123853
3.94,6,8.125888
3.95,5,8.127725
1.95,5,8.129512
3.9,10,8.132607
1.95,5,8.134193
13.88,12,8.13783
1.94,6,8.139692
1.95,5,8.141484
1.91,9,8.144191
13.91,9,8.146798
-0.05,5,8.148273
