environment,algorithm,training_seed,speed_scale,success_rate,avg_reward,avg_max_row,road_collision_rate,drowning_rate,timeout_rate
v10,dqn,2,1.0,0.58,9.6754,7.41,0.21,0.2,0.01
v10,dqn,2,1.2,0.46,8.2729,6.83,0.36,0.15,0.03
v10,dqn,2,1.4,0.35,7.186900000000003,6.44,0.41,0.2,0.04
v10,dqn,3,0.8,0.69,10.6829,7.71,0.19,0.12,0.0
v10,dqn,3,1.0,0.62,10.0806,7.52,0.22,0.16,0.0
v10,dqn,3,1.2,0.54,9.465800000000003,7.41,0.36,0.1,0.0
v10,dqn,3,1.4,0.44,8.433200000000001,6.98,0.38,0.18,0.0
v10,dqn,4,0.8,0.43,8.081600000000002,6.76,0.26,0.29,0.02
v10,dqn,4,1.0,0.24,6.361700000000002,6.08,0.34,0.42,0.0
v10,dqn,4,1.2,0.29,6.647100000000005,6.08,0.31,0.4,0.0
v10,dqn,4,1.4,0.21,5.832100000000002,5.77,0.44,0.34,0.01
v10,qrdqn,0,0.8,0.3,6.827200000000002,6.36,0.3,0.4,0.0
v10,qrdqn,0,1.0,0.28,6.429700000000009,6.22,0.39,0.3,0.03
v10,qrdqn,0,1.2,0.21,5.483800000000003,5.86,0.37,0.34,0.08
v10,qrdqn,0,1.4,0.24,5.9340000000000055,6.07,0.41,0.29,0.06
v10,qrdqn,1,0.8,0.35,7.675200000000003,6.83,0.41,0.24,0.0
v10,qrdqn,1,1.0,0.36,7.813000000000005,6.95,0.51,0.13,0.0
v10,qrdqn,1,1.2,0.37,7.755800000000006,6.98,0.45,0.15,0.03
v10,qrdqn,1,1.4,0.3,6.9305000000000065,6.72,0.49,0.16,0.05
v10,qrdqn,2,0.8,0.27,6.236900000000009,6.13,0.39,0.31,0.03
v10,qrdqn,2,1.0,0.21,5.605800000000005,5.94,0.51,0.22,0.06
v10,qrdqn,2,1.2,0.21,5.908800000000005,6.23,0.44,0.3,0.05
v10,qrdqn,2,1.4,0.26,6.509900000000012,6.42,0.52,0.2,0.02
v10,qrdqn,3,0.8,0.47,8.457900000000006,6.88,0.29,0.24,0.0
v10,qrdqn,3,1.0,0.45,8.485700000000005,7.04,0.3,0.25,0.0
v10,qrdqn,3,1.2,0.3,6.844500000000003,6.28,0.41,0.29,0.0
v10,qrdqn,3,1.4,0.29,6.7355000000000045,6.25,0.38,0.33,0.0
v10,qrdqn,4,0.8,0.51,9.075100000000004,7.27,0.32,0.17,0.0
v10,qrdqn,4,1.0,0.52,9.127000000000006,7.25,0.28,0.2,0.0
v10,qrdqn,4,1.2,0.37,7.4790000000000045,6.65,0.31,0.29,0.03
v10,qrdqn,4,1.4,0.39,7.781300000000007,6.74,0.3,0.3,0.01
