#{"t_start": 1787331164.389289, "env_id": "None"}
r,l,t
3.88,12,39.63418
-0.01,1,39.634676
5.77,23,40.184962
5.81,19,40.191328
1.9,10,40.195277
3.84,16,40.200807
1.85,15,40.206755
1.88,12,40.210647
13.7,30,40.221644
1.88,12,40.226405
3.87,13,40.619188
1.96,4,40.620673
13.75,25,40.629814
1.88,12,40.634531
3.91,9,40.637939
13.78,22,40.645365
3.89,11,40.649473
1.9,10,40.653312
0.95,5,40.65577
13.82,18,40.661762
13.72,28,41.06484
13.77,23,41.073355
3.92,8,41.07604
3.86,14,41.081991
5.79,21,41.090047
1.96,4,41.091617
1.87,13,41.095761
1.87,13,41.10067
1.96,4,41.10209
3.91,9,41.486837
5.8,20,41.494596
3.88,12,41.499748
13.67,33,41.511294
3.92,8,41.513973
1.91,9,41.517555
13.81,19,41.524164
1.86,14,41.529362
1.96,4,41.531309
5.72,28,42.052802
1.96,4,42.054645
3.92,8,42.058101
1.9,10,42.061387
3.92,8,42.063954
1.86,14,42.06976
3.92,8,42.073216
5.73,27,42.083141
1.96,4,42.084655
3.86,14,42.090132
13.8,20,42.527696
5.69,31,42.539527
13.78,22,42.547014
5.68,32,42.55859
13.79,21,42.566518
13.79,21,42.943952
3.89,11,42.948125
1.9,10,42.952052
3.87,13,42.956894
5.8,20,42.964646
1.88,12,42.968708
13.64,36,42.981075
5.51,49,43.501005
1.86,14,43.505589
1.96,4,43.506998
3.63,37,43.519938
3.88,12,43.524438
1.96,4,43.525902
1.77,23,43.534059
3.92,8,44.057863
13.63,37,44.071111
3.85,15,44.076945
1.71,29,44.087025
3.9,10,44.091045
3.92,8,44.093774
3.92,8,44.097076
1.73,27,44.629034
1.72,28,44.641402
1.96,4,44.643256
1.96,4,44.644727
5.75,25,44.653839
1.87,13,44.658647
3.86,14,44.664072
5.74,26,44.673202
1.86,14,45.102462
5.83,17,45.108679
1.96,4,45.110198
3.92,8,45.112843
3.83,17,45.118835
13.78,22,45.126792
3.77,23,45.134805
5.74,26,45.143778
5.5,50,45.546919
13.68,32,45.560628
13.78,22,45.567964
3.88,12,45.57264
3.7,30,46.078855
3.72,28,46.089801
5.66,34,46.103206
1.96,4,46.104853
1.96,4,46.107647
3.88,12,46.111721
13.79,21,46.119992
3.84,16,46.608785
3.85,15,46.613674
13.81,19,46.620697
5.75,25,46.630272
3.86,14,46.635563
3.82,18,46.641744
3.75,25,46.650559
3.83,17,47.043793
3.85,15,47.049219
3.92,8,47.051873
5.81,19,47.058663
5.76,24,47.067245
1.88,12,47.071604
3.92,8,47.074272
1.89,11,47.078272
3.83,17,47.084784
1.93,7,47.462357
3.92,8,47.465799
3.85,15,47.470881
13.79,21,47.47796
3.92,8,47.480587
13.8,20,47.488373
1.96,4,47.490105
5.81,19,47.496626
1.96,4,47.498594
5.89,11,47.502272
5.85,15,47.861235
1.96,4,47.862692
1.86,14,47.868055
3.92,8,47.871175
1.96,4,47.873164
3.9,10,47.876724
1.85,15,47.882372
