#{"t_start": 1787329158.1368918, "env_id": "None"}
r,l,t
3.94,6,7.064116
1.96,4,7.065479
-0.02,2,7.066199
-0.03,3,7.067368
1.97,3,7.068432
-0.01,1,7.068842
-0.02,2,7.069564
1.97,3,7.070595
3.95,5,7.072265
1.97,3,7.073324
1.97,3,7.074472
3.94,6,7.077588
5.92,8,7.348995
-0.02,2,7.350183
1.97,3,7.351482
-0.01,1,7.351915
1.97,3,7.353
3.95,5,7.354686
1.97,3,7.355742
5.92,8,7.358568
-0.02,2,7.359328
1.97,3,7.360376
1.95,5,7.362063
1.97,3,7.363115
3.95,5,7.364799
1.97,3,7.365834
1.96,4,7.367362
1.96,4,7.368864
1.97,3,7.369959
5.92,8,7.372646
-0.02,2,7.373544
1.97,3,7.374623
3.95,5,7.376321
5.93,7,7.379445
3.94,6,7.38148
-0.02,2,7.382239
1.96,4,7.384066
-0.02,2,7.385091
-0.01,1,7.385591
-0.02,2,7.386444
-0.02,2,7.387315
1.97,3,7.388524
5.92,8,7.391298
1.94,6,7.393591
5.93,7,7.622199
-0.01,1,7.622745
3.95,5,7.624508
-0.01,1,7.625072
-0.01,1,7.625582
-0.01,1,7.626036
-0.02,2,7.626802
5.93,7,7.629127
5.93,7,7.631894
5.9,10,7.635382
5.92,8,7.637997
1.97,3,7.639051
3.94,6,7.641025
1.94,6,7.643481
-0.01,1,7.643918
3.95,5,7.645632
-0.02,2,7.646362
3.94,6,7.648347
3.95,5,7.650007
1.94,6,7.652391
-0.02,2,7.653224
3.95,5,7.654968
1.97,3,7.656037
-0.02,2,7.65679
3.95,5,7.65879
-0.01,1,7.659485
3.94,6,7.662012
1.96,4,7.663612
1.96,4,7.665223
1.96,4,7.666951
1.95,5,7.66883
-0.02,2,7.669563
1.96,4,7.937852
1.97,3,7.939049
1.97,3,7.940133
-0.02,2,7.940869
1.94,6,7.942928
-0.03,3,7.943989
3.95,5,7.945863
-0.01,1,7.946615
1.97,3,7.947796
3.91,9,7.951335
-0.02,2,7.952177
5.93,7,7.954529
-0.01,1,7.954954
3.95,5,7.956955
3.95,5,7.959042
-0.02,2,7.959959
-0.01,1,7.960433
5.92,8,7.963073
5.91,9,7.966439
1.97,3,7.967503
3.93,7,7.969804
5.93,7,7.972076
3.95,5,7.973737
-0.03,3,7.974887
-0.02,2,7.975626
-0.02,2,7.976646
3.93,7,7.979073
1.97,3,7.980142
-0.02,2,7.980869
3.95,5,7.982547
1.96,4,7.984144
1.97,3,8.220282
3.92,8,8.223016
3.95,5,8.225102
1.97,3,8.226243
1.97,3,8.227318
-0.01,1,8.227725
3.94,6,8.230334
5.93,7,8.232771
-0.01,1,8.233219
1.97,3,8.234385
3.95,5,8.236091
3.95,5,8.237777
1.95,5,8.239461
5.93,7,8.241945
1.97,3,8.243121
3.95,5,8.245082
-0.02,2,8.245855
1.97,3,8.246922
3.94,6,8.248923
-0.01,1,8.249337
-0.01,1,8.249743
-0.02,2,8.250459
3.95,5,8.252547
3.95,5,8.254414
1.97,3,8.255498
3.92,8,8.258165
3.94,6,8.260316
1.97,3,8.26137
-0.03,3,8.262405
1.97,3,8.263489
5.92,8,8.461462
1.95,5,8.463478
3.91,9,8.467152
-0.03,3,8.468281
5.92,8,8.471214
1.97,3,8.472489
-0.02,2,8.473258
1.97,3,8.474622
3.94,6,8.476695
1.96,4,8.478054
1.94,6,8.480017
1.97,3,8.481447
1.97,3,8.482749
1.97,3,8.484118
-0.02,2,8.484921
1.96,4,8.486303
1.97,3,8.487362
-0.02,2,8.488084
-0.01,1,8.488488
1.97,3,8.489534
-0.01,1,8.489935
3.94,6,8.49298
1.97,3,8.494543
5.91,9,8.497834
1.97,3,8.498941
3.94,6,8.501375
1.96,4,8.502901
1.97,3,8.503972
-0.02,2,8.504696
5.93,7,8.507046
1.97,3,8.508104
1.95,5,8.509801
-0.01,1,8.510219
1.96,4,8.762916
-0.03,3,8.764061
-0.01,1,8.764493
-0.02,2,8.765217
1.97,3,8.766255
5.91,9,8.769601
1.97,3,8.770701
1.97,3,8.772072
1.97,3,8.773243
13.91,9,8.776552
13.91,9,8.779514
1.97,3,8.780564
1.96,4,8.782167
1.97,3,8.78344
3.95,5,8.785339
1.94,6,8.787362
3.94,6,8.78935
5.93,7,8.792138
1.97,3,8.793307
1.97,3,8.794569
3.95,5,8.796298
3.95,5,8.798004
3.95,5,8.799893
-0.01,1,8.800323
0.97,3,8.801516
5.93,7,8.803826
-0.02,2,8.804538
13.89,11,8.808078
1.97,3,9.028105
3.95,5,9.030186
1.96,4,9.031696
13.9,10,9.035563
-0.02,2,9.03636
3.93,7,9.039217
5.93,7,9.041679
3.94,6,9.043757
-0.03,3,9.044798
3.95,5,9.046541
-0.02,2,9.04746
1.97,3,9.048564
5.92,8,9.051414
3.95,5,9.053177
1.96,4,9.054687
1.97,3,9.055767
5.93,7,9.05836
-0.01,1,9.058868
1.97,3,9.059954
3.95,5,9.061639
-0.04,4,9.063022
3.95,5,9.064713
5.93,7,9.067152
1.95,5,9.068878
1.97,3,9.069922
1.94,6,9.071966
1.97,3,9.073082
3.95,5,9.287202
1.97,3,9.288437
3.95,5,9.29025
1.96,4,9.292063
-0.01,1,9.292664
3.92,8,9.295357
1.95,5,9.29765
-0.01,1,9.298161
3.95,5,9.300278
-0.01,1,9.300788
1.96,4,9.30221
13.91,9,9.305158
1.97,3,9.306752
1.97,3,9.308018
1.97,3,9.309174
1.96,4,9.310703
3.95,5,9.312534
1.97,3,9.313614
-0.01,1,9.314314
3.95,5,9.316421
5.92,8,9.319103
1.97,3,9.320149
1.97,3,9.321193
1.97,3,9.322224
3.93,7,9.324514
-0.01,1,9.324926
13.89,11,9.328765
1.97,3,9.329866
1.96,4,9.331236
1.95,5,9.332892
-0.04,4,9.334227
1.96,4,9.60603
1.97,3,9.607195
1.97,3,9.608238
1.97,3,9.609269
1.97,3,9.61029
-0.01,1,9.610692
1.97,3,9.611708
3.92,8,9.614562
-0.01,1,9.615181
5.91,9,9.618289
3.95,5,9.620263
1.97,3,9.621509
-0.02,2,9.622293
-0.02,2,9.623063
-0.02,2,9.623815
1.96,4,9.625615
3.95,5,9.627406
13.91,9,9.630357
1.97,3,9.63142
5.93,7,9.633695
3.94,6,9.635961
5.93,7,9.63837
1.96,4,9.639737
-0.03,3,9.64079
5.93,7,9.64313
-0.04,4,9.644508
-0.02,2,9.645225
1.97,3,9.646261
1.97,3,9.647284
1.95,5,9.648939
-0.01,1,9.649347
1.97,3,9.650374
1.97,3,9.897892
1.97,3,9.899081
-0.02,2,9.899823
1.97,3,9.900872
1.97,3,9.901908
1.96,4,9.903257
3.95,5,9.904895
3.95,5,9.906542
3.94,6,9.908488
3.94,6,9.91085
-0.02,2,9.911698
5.93,7,9.914058
3.95,5,9.915785
1.95,5,9.917466
-0.02,2,9.918188
3.93,7,9.921018
1.95,5,9.922803
-0.01,1,9.923237
1.97,3,9.92454
3.95,5,9.926411
5.93,7,9.928809
3.93,7,9.931143
3.94,6,9.933259
1.97,3,9.934375
1.97,3,9.935417
1.97,3,9.936471
3.94,6,9.938452
-0.02,2,9.939183
-0.03,3,9.940215
1.96,4,9.941563
5.91,9,10.119482
-0.01,1,10.119977
1.97,3,10.121057
1.97,3,10.122118
-0.02,2,10.123354
5.9,10,10.12717
5.9,10,10.130616
3.95,5,10.132344
1.97,3,10.133433
1.97,3,10.134542
5.93,7,10.136892
3.95,5,10.138577
1.97,3,10.139634
3.95,5,10.141562
1.97,3,10.142731
1.97,3,10.143783
3.93,7,10.146032
3.95,5,10.147675
1.97,3,10.148698
3.93,7,10.150931
-0.02,2,10.151909
-0.02,2,10.152697
1.97,3,10.15377
3.95,5,10.155473
-0.02,2,10.156211
1.97,3,10.157256
-0.01,1,10.157741
3.95,5,10.159525
3.95,5,10.161494
1.97,3,10.162716
-0.02,2,10.16348
-0.02,2,10.418846
1.93,7,10.421371
3.95,5,10.423092
1.97,3,10.424127
1.95,5,10.425956
1.97,3,10.427129
3.95,5,10.428857
-0.03,3,10.429904
3.95,5,10.431586
2.94,6,10.434014
1.94,6,10.436104
13.9,10,10.43937
1.97,3,10.440419
-0.03,3,10.441454
-0.02,2,10.442192
-0.01,1,10.442714
5.92,8,10.445556
-0.01,1,10.445984
1.97,3,10.447048
3.95,5,10.448733
3.93,7,10.451024
-0.02,2,10.451751
1.97,3,10.452794
1.97,3,10.453851
-0.05,5,10.455639
5.91,9,10.458935
1.97,3,10.46007
3.91,9,10.463015
3.95,5,10.754408
1.97,3,10.755564
5.93,7,10.757923
5.91,9,10.761117
-0.02,2,10.762046
1.97,3,10.763229
1.97,3,10.764437
1.96,4,10.765829
3.95,5,10.767579
1.96,4,10.76896
1.95,5,10.770647
3.95,5,10.772335
3.95,5,10.774
1.97,3,10.775108
5.92,8,10.777894
-0.03,3,10.778993
1.96,4,10.780389
1.97,3,10.781449
3.91,9,10.785604
5.92,8,10.788456
1.94,6,10.790513
-0.03,3,10.79178
1.97,3,10.792947
1.97,3,10.794027
3.95,5,10.795796
1.97,3,10.797192
1.97,3,10.798332
1.94,6,10.800438
-0.04,4,11.005399
3.94,6,11.007552
-0.02,2,11.008365
-0.02,2,11.009288
1.95,5,11.011013
5.93,7,11.013311
1.97,3,11.014478
1.97,3,11.015549
1.97,3,11.016629
1.93,7,11.018957
1.97,3,11.01999
3.94,6,11.021947
-0.02,2,11.022654
3.95,5,11.024302
5.93,7,11.027112
1.97,3,11.028245
1.94,6,11.030245
1.97,3,11.03128
5.92,8,11.034071
13.91,9,11.037262
1.96,4,11.038629
1.97,3,11.039664
1.97,3,11.040707
5.93,7,11.043025
3.93,7,11.045683
-0.03,3,11.046841
1.95,5,11.048565
-0.01,1,11.04899
1.97,3,11.246921
13.9,10,11.250722
1.97,3,11.251884
1.97,3,11.25295
1.93,7,11.255355
1.97,3,11.256686
-0.02,2,11.257488
5.84,16,11.262801
1.97,3,11.263872
3.94,6,11.26586
3.95,5,11.267729
1.97,3,11.268804
1.93,7,11.271093
1.94,6,11.273054
1.97,3,11.274092
3.95,5,11.275745
1.93,7,11.278371
3.95,5,11.280146
3.95,5,11.281815
3.95,5,11.283644
3.95,5,11.285357
-0.05,5,11.287363
3.95,5,11.289106
1.96,4,11.290475
13.91,9,11.562753
-0.01,1,11.563244
1.97,3,11.564307
1.97,3,11.565357
5.93,7,11.567719
1.97,3,11.568766
3.93,7,11.571094
1.96,4,11.572734
1.97,3,11.574308
3.91,9,11.57806
-0.01,1,11.57852
3.95,5,11.580335
-0.06,6,11.583034
1.91,9,11.586048
1.97,3,11.587083
1.97,3,11.588103
3.93,7,11.590345
0.97,3,11.591392
5.92,8,11.59416
3.92,8,11.596774
-0.01,1,11.597188
1.94,6,11.599149
-0.02,2,11.599864
1.94,6,11.602121
1.94,6,11.604074
5.89,11,11.800577
3.89,11,11.804708
-0.01,1,11.805173
1.96,4,11.806529
3.95,5,11.80818
1.97,3,11.809716
3.95,5,11.811576
5.78,22,11.818972
1.97,3,11.820081
1.97,3,11.821116
5.92,8,11.823709
3.94,6,11.825676
1.94,6,11.827634
3.95,5,11.829284
5.89,11,11.833093
3.95,5,11.834965
5.93,7,11.83727
-0.13,13,11.841493
1.97,3,11.84258
1.96,4,11.844012
-0.05,5,12.198817
-0.01,1,12.199308
1.97,3,12.20087
1.97,3,12.202027
3.91,9,12.204947
1.94,6,12.207466
