#{"t_start": 1787328354.86434, "env_id": "None"}
r,l,t
1.94,6,10.440488
3.92,8,10.443415
3.93,7,10.44605
1.94,6,10.448286
1.96,4,10.449803
-0.02,2,10.450626
-0.02,2,10.45143
1.95,5,10.453543
-0.02,2,10.454856
-0.04,4,10.456472
-0.01,1,10.457284
-0.03,3,10.458696
-0.01,1,10.459168
1.96,4,10.46071
1.96,4,10.462227
1.97,3,10.463392
1.93,7,10.466264
1.95,5,10.468186
-0.01,1,10.695919
1.95,5,10.69855
-0.01,1,10.699184
3.95,5,10.701723
1.95,5,10.703872
1.97,3,10.706414
1.97,3,10.707671
3.95,5,10.709603
1.96,4,10.711153
-0.01,1,10.711625
-0.02,2,10.712503
1.96,4,10.714093
1.94,6,10.716861
1.97,3,10.718282
-0.03,3,10.719639
-0.01,1,10.72025
1.92,8,10.723543
1.97,3,10.725041
5.93,7,10.728297
-0.01,1,10.728824
1.94,6,10.731124
-0.02,2,10.731937
-0.02,2,10.732755
1.96,4,10.734267
3.95,5,10.736122
1.97,3,10.737319
-0.01,1,10.73803
1.96,4,10.739662
1.97,3,10.740844
-0.01,1,10.74129
-0.01,1,10.74174
-0.01,1,10.742194
-0.01,1,10.742729
-0.04,4,10.744342
-0.01,1,10.744868
1.95,5,10.746799
3.92,8,10.749763
1.94,6,10.994707
-0.01,1,10.99528
3.93,7,10.997977
13.9,10,11.001613
1.96,4,11.003114
3.95,5,11.005485
-0.02,2,11.006312
5.92,8,11.00923
3.94,6,11.011446
1.96,4,11.012953
3.95,5,11.01525
-0.03,3,11.016523
0.96,4,11.018069
3.93,7,11.020653
-0.02,2,11.021452
1.95,5,11.023312
1.97,3,11.024478
3.95,5,11.026331
1.97,3,11.027475
-0.02,2,11.028466
3.94,6,11.030821
1.96,4,11.032372
1.96,4,11.033925
1.95,5,11.035824
-0.02,2,11.036699
1.97,3,11.040713
1.95,5,11.04262
3.92,8,11.045518
1.96,4,11.047008
3.95,5,11.273538
3.93,7,11.276294
-0.01,1,11.276759
5.91,9,11.28025
1.93,7,11.28284
5.89,11,11.288405
13.9,10,11.292081
-0.02,2,11.292893
1.95,5,11.295225
3.93,7,11.298036
-0.01,1,11.298505
2.93,7,11.301376
-0.04,4,11.302949
-0.02,2,11.303794
1.95,5,11.305889
-0.01,1,11.3064
3.95,5,11.308365
-0.01,1,11.308827
-0.01,1,11.309277
-0.01,1,11.309723
1.93,7,11.312328
