#{"t_start": 1787347883.304877, "env_id": "None"}
r,l,t,success,collision,max_y
1.95,5,2.871958,False,True,3
1.96,4,2.872897,False,True,3
1.89,11,2.875078,False,True,3
4.87,13,2.87752,False,True,6
-0.09,9,2.87924,False,True,1
2.88,12,2.8817,False,True,4
-0.04,4,2.882543,False,True,1
-0.01,1,2.882815,False,True,1
2.84,16,2.885835,False,True,4
-0.04,4,2.886662,False,True,1
0.96,4,2.887484,False,True,2
1.89,11,2.889557,False,True,3
3.78,22,2.89388,False,True,5
0.47,53,2.904023,False,True,2
-0.06,6,2.905267,False,True,1
1.59,41,2.913089,False,True,3
1.86,14,2.915909,False,True,3
1.94,6,2.917129,False,True,3
1.57,43,2.925223,False,True,3
4.82,18,2.928527,False,True,6
3.26,74,2.942489,False,True,5
0.96,4,2.943377,False,True,2
2.87,13,2.945916,False,True,4
1.83,17,2.949385,False,True,3
0.96,4,2.950285,False,True,2
3.84,16,2.953705,False,True,5
5.81,19,2.957383,False,True,7
1.88,12,2.959683,False,True,3
2.88,12,2.962046,False,True,4
2.9,10,2.963959,False,True,4
2.92,8,2.965587,False,True,4
4.83,17,2.968802,False,True,6
-0.05,5,2.969795,False,True,1
1.93,7,2.971244,False,True,3
0.94,6,2.972461,False,True,2
-0.03,3,2.973176,False,True,1
0.95,5,2.974189,False,True,2
1.79,21,2.978096,False,True,3
3.75,25,2.98353,False,True,5
-0.07,7,2.98501,False,True,1
3.61,39,2.992798,False,True,5
1.93,7,2.994246,False,True,3
-0.03,3,2.994911,False,True,1
4.85,15,2.997921,False,True,6
2.89,11,3.000095,False,True,4
-0.01,1,3.000361,False,True,1
2.8,20,3.004256,False,True,4
0.88,12,3.006676,False,True,2
0.98,2,3.007158,False,True,2
-0.02,2,3.007619,False,True,1
-0.01,1,3.007878,False,True,1
2.82,18,3.011276,False,True,4
-0.03,3,3.012012,False,True,1
2.89,11,3.014183,False,True,4
-0.01,1,3.014531,False,True,1
2.96,4,3.015356,False,True,4
1.77,23,3.01963,False,True,3
1.93,7,3.02098,False,True,3
5.77,23,3.025735,False,True,7
-0.01,1,3.026049,False,True,1
2.89,11,3.028236,False,True,4
3.93,7,3.029608,False,True,5
-0.07,7,3.031155,False,True,1
0.98,2,3.031894,False,True,2
0.96,4,3.032823,False,True,2
0.9,10,3.034764,False,True,2
1.89,11,3.036837,False,True,3
2.92,8,3.038392,False,True,4
0.94,6,3.03966,False,True,2
-0.01,1,3.039942,False,True,1
-0.04,4,3.040757,False,True,1
4.81,19,3.044275,False,True,6
1.78,22,3.048334,False,True,3
6.73,27,3.053485,False,True,8
2.86,14,3.056485,False,True,4
-0.02,2,3.056962,False,True,1
0.94,6,3.058296,False,True,2
1.96,4,3.059179,False,True,3
3.91,9,3.060907,False,True,5
1.84,16,3.063894,False,True,3
0.95,5,3.064942,False,True,2
-0.04,4,3.065773,False,True,1
1.62,38,3.073101,False,True,3
0.7,30,3.078788,False,True,2
1.88,12,3.081518,False,True,3
6.79,21,3.085426,False,True,8
3.64,36,3.092296,False,True,5
2.93,7,3.093669,False,True,4
-0.12,12,3.095932,False,True,1
0.97,3,3.096579,False,True,2
5.66,34,3.103022,False,True,7
1.81,19,3.106806,False,True,3
1.91,9,3.108636,False,True,3
0.82,18,3.112215,False,True,2
