#{"t_start": 1787335010.225128, "env_id": "None"}
r,l,t
5.93,7,5.253096
3.83,17,5.257978
5.79,21,5.263908
3.95,5,5.265401
3.92,8,5.267719
13.53,47,5.414552
1.96,4,5.415843
1.97,3,5.416789
5.93,7,5.419216
1.97,3,5.4203
5.74,26,5.427715
1.97,3,5.428655
5.9,10,5.431544
13.72,28,5.439417
1.97,3,5.440357
1.97,3,5.441308
13.84,16,5.445861
1.97,3,5.446794
5.79,21,5.593148
13.86,14,5.597282
5.92,8,5.599644
13.89,11,5.602815
1.96,4,5.604036
5.19,81,5.867501
5.89,11,5.870742
1.97,3,5.87167
3.94,6,5.87342
3.92,8,5.876224
1.96,4,5.877465
1.93,7,5.879513
1.97,3,5.880443
3.92,8,5.88275
1.95,5,5.884222
3.95,5,5.885699
1.94,6,5.887436
13.91,9,5.89
1.97,3,5.890921
1.97,3,5.891847
1.95,5,5.8933
1.97,3,5.894222
5.91,9,5.896767
13.91,9,5.899312
13.9,10,5.902117
3.93,7,5.983081
1.97,3,5.984121
5.91,9,5.98671
1.97,3,5.987634
3.88,12,5.991005
1.94,6,5.992735
1.93,7,5.994739
3.93,7,5.996739
3.92,8,5.998992
3.94,6,6.00071
1.95,5,6.002167
3.95,5,6.003619
3.92,8,6.005895
5.9,10,6.008694
1.97,3,6.009598
1.94,6,6.011315
3.94,6,6.013036
3.9,10,6.015823
5.91,9,6.099628
1.94,6,6.101633
1.93,7,6.103772
13.89,11,6.106968
5.93,7,6.109025
1.96,4,6.110233
3.95,5,6.11172
1.97,3,6.112653
3.91,9,6.115244
3.94,6,6.11713
1.93,7,6.119298
5.9,10,6.122201
1.97,3,6.12313
1.95,5,6.124613
1.97,3,6.125533
1.96,4,6.126753
1.97,3,6.127698
3.84,16,6.132213
1.97,3,6.133145
5.92,8,6.135461
5.89,11,6.238215
1.96,4,6.239543
1.95,5,6.241055
1.95,5,6.242543
1.93,7,6.244545
1.94,6,6.246278
3.95,5,6.247733
1.97,3,6.248649
1.97,3,6.249555
1.97,3,6.250462
3.95,5,6.251912
5.92,8,6.254192
3.88,12,6.257527
1.97,3,6.258461
1.97,3,6.259363
1.97,3,6.260269
1.97,3,6.261169
1.97,3,6.262077
1.96,4,6.263256
3.95,5,6.264718
1.94,6,6.26644
1.94,6,6.268153
13.9,10,6.270967
5.89,11,6.27403
1.97,3,6.359851
1.96,4,6.361198
5.88,12,6.364673
1.94,6,6.366452
1.97,3,6.367427
3.95,5,6.368892
3.94,6,6.370806
1.97,3,6.371793
5.93,7,6.373962
13.89,11,6.377497
5.91,9,6.381657
1.97,3,6.383998
1.96,4,6.385746
1.97,3,6.387146
1.96,4,6.388567
3.92,8,6.392335
1.96,4,6.393652
5.91,9,6.400079
5.92,8,6.403476
5.9,10,6.406833
1.97,3,6.408259
5.9,10,6.507509
1.97,3,6.508589
3.95,5,6.510143
1.97,3,6.511096
1.96,4,6.512417
1.97,3,6.513456
1.97,3,6.51439
1.97,3,6.515447
1.96,4,6.516766
3.93,7,6.518937
3.92,8,6.522077
3.92,8,6.524569
13.87,13,6.528438
1.93,7,6.530643
1.97,3,6.531596
5.88,12,6.535501
1.97,3,6.536628
5.9,10,6.539686
3.91,9,6.542336
1.97,3,6.543267
1.96,4,6.544464
5.9,10,6.641973
1.97,3,6.643025
1.96,4,6.644264
1.97,3,6.645215
13.88,12,6.64872
1.97,3,6.649661
13.87,13,6.653997
1.97,3,6.655022
13.9,10,6.657915
1.97,3,6.658841
1.97,3,6.659766
5.89,11,6.663292
5.9,10,6.666282
3.95,5,6.667826
1.97,3,6.668773
5.93,7,6.670932
3.93,7,6.673045
5.91,9,6.675653
3.94,6,6.677424
1.93,7,6.67989
1.94,6,6.772736
3.95,5,6.774403
1.97,3,6.775369
5.81,19,6.780904
5.87,13,6.784664
1.97,3,6.785898
1.95,5,6.787604
1.94,6,6.789481
3.81,19,6.794834
3.89,11,6.798647
3.95,5,6.800213
13.85,15,6.804545
1.97,3,6.8056
1.97,3,6.806619
5.89,11,6.80983
13.86,14,6.927913
1.97,3,6.928932
3.91,9,6.931562
1.97,3,6.932493
3.94,6,6.934679
1.95,5,6.936338
5.93,7,6.938448
1.97,3,6.93939
13.91,9,6.941963
3.95,5,6.943432
1.96,4,6.945193
5.87,13,6.949479
1.97,3,6.950543
1.95,5,6.952163
3.94,6,6.954531
3.89,11,6.958026
3.91,9,6.960747
1.97,3,6.961703
1.93,7,6.963977
1.94,6,6.966045
3.95,5,7.059431
1.94,6,7.061365
1.97,3,7.062364
1.94,6,7.064607
1.97,3,7.065656
5.9,10,7.069141
1.97,3,7.07042
5.92,8,7.073111
1.93,7,7.075182
1.97,3,7.07618
3.93,7,7.078629
1.97,3,7.079725
5.9,10,7.083088
1.97,3,7.084454
5.89,11,7.089124
5.93,7,7.091388
1.97,3,7.092412
1.97,3,7.093363
5.9,10,7.096453
1.97,3,7.097425
5.91,9,7.100063
5.93,7,7.191437
3.91,9,7.195065
3.92,8,7.197787
13.89,11,7.202224
1.94,6,7.205745
1.95,5,7.207506
5.9,10,7.223014
1.94,6,7.231321
1.97,3,7.232973
1.96,4,7.241031
3.91,9,7.245095
13.87,13,7.251121
1.95,5,7.253458
3.95,5,7.255575
5.89,11,7.259689
13.89,11,7.26723
1.95,5,7.269239
1.97,3,7.270552
5.93,7,7.383997
5.93,7,7.386224
1.94,6,7.388024
1.94,6,7.389767
1.97,3,7.390694
1.97,3,7.391605
5.85,15,7.396509
1.95,5,7.398217
3.94,6,7.399987
5.91,9,7.402955
3.94,6,7.404931
3.95,5,7.406483
1.97,3,7.40768
3.95,5,7.409225
3.95,5,7.411076
1.97,3,7.412125
5.91,9,7.414904
3.95,5,7.416502
3.92,8,7.419379
1.97,3,7.420643
1.97,3,7.421695
5.9,10,7.525956
1.96,4,7.527397
3.92,8,7.52984
13.88,12,7.533622
1.97,3,7.534609
1.97,3,7.535566
1.97,3,7.536521
1.97,3,7.537466
1.97,3,7.538415
5.88,12,7.542291
13.71,29,7.551524
1.93,7,7.553662
1.97,3,7.554608
13.73,27,7.562654
1.96,4,7.563918
5.93,7,7.719512
1.96,4,7.72099
3.95,5,7.722562
3.92,8,7.724954
5.89,11,7.728197
-0.01,1,7.728587
3.95,5,7.730084
1.95,5,7.73159
1.97,3,7.732524
3.93,7,7.734567
5.93,7,7.736658
3.9,10,7.739588
5.89,11,7.743282
1.97,3,7.744297
5.93,7,7.746341
1.97,3,7.747273
1.97,3,7.748217
1.97,3,7.749138
3.95,5,7.750952
3.95,5,7.752593
1.97,3,7.753567
3.9,10,7.7565
3.95,5,7.757984
1.97,3,7.758911
1.97,3,7.847972
5.9,10,7.85095
3.94,6,7.852719
13.57,43,7.865099
1.95,5,7.866651
1.97,3,7.867577
5.74,26,7.875703
3.6,40,8.076402
1.95,5,8.078
3.62,38,8.089281
1.97,3,8.090521
5.88,12,8.094386
5.9,10,8.09733
1.97,3,8.098267
1.97,3,8.099522
3.77,23,8.106302
3.92,8,8.108653
1.96,4,8.109854
5.9,10,8.112712
