#{"t_start": 1787326124.58169, "env_id": "None"}
r,l,t
3.95,5,12.78377
1.97,3,12.784975
3.93,7,12.787542
3.92,8,12.790276
-0.02,2,12.791007
1.97,3,12.79204
-0.02,2,12.792801
1.96,4,12.794394
-0.02,2,12.795156
1.95,5,12.796874
-6.0,100,13.629464
1.97,3,13.631837
3.95,5,13.633518
1.97,3,13.634552
1.97,3,13.635577
1.94,6,13.637518
-0.01,1,13.637924
1.97,3,13.638958
13.89,11,13.642448
1.97,3,13.64347
3.92,8,13.646029
5.93,7,13.648279
1.97,3,13.649292
1.97,3,13.650304
5.92,8,13.652837
-0.01,1,13.653236
1.97,3,13.654246
3.94,6,13.656176
3.94,6,13.6581
3.95,5,14.274466
5.93,7,14.276861
1.97,3,14.277902
-0.01,1,14.278306
1.97,3,14.279327
3.95,5,14.280961
13.91,9,14.283831
1.96,4,14.285361
1.97,3,14.286493
1.97,3,14.287575
5.93,7,14.289901
5.89,11,14.293656
5.9,10,14.296979
1.93,7,14.299263
3.94,6,14.3013
1.97,3,14.302376
-0.02,2,14.303107
1.97,3,14.304151
-6.0,100,14.838241
1.93,7,14.840809
3.94,6,14.842829
-0.02,2,14.843556
5.9,10,14.847148
1.96,4,14.848499
3.94,6,14.850472
3.95,5,14.852121
1.97,3,14.853178
-0.01,1,14.853589
1.96,4,14.855487
1.97,3,14.857011
1.96,4,14.858477
3.94,6,14.860464
3.95,5,15.707587
3.95,5,15.709419
3.95,5,15.711125
3.95,5,15.712796
3.9,10,15.716535
3.94,6,15.718876
3.95,5,15.720669
13.91,9,15.723676
-0.01,1,15.724093
1.97,3,15.725159
1.97,3,15.726282
5.93,7,15.728608
1.97,3,15.729665
1.94,6,15.731646
5.91,9,15.734641
1.97,3,15.735712
-0.01,1,15.736135
13.87,13,15.740314
3.95,5,15.741982
3.95,5,15.743647
1.97,3,15.744684
1.97,3,15.745712
1.97,3,15.746758
1.97,3,15.74779
3.95,5,15.749459
1.96,4,15.750807
3.92,8,15.987814
-0.06,6,15.989929
1.94,6,15.991925
-0.03,3,15.99298
3.94,6,15.994976
-0.01,1,15.99538
1.93,7,15.997674
3.9,10,16.000912
3.91,9,16.003841
1.97,3,16.004881
3.95,5,16.006537
5.88,12,16.010375
3.95,5,16.012041
3.9,10,16.015268
1.97,3,16.016311
1.97,3,16.01735
13.91,9,16.02027
5.93,7,16.022559
1.94,6,16.024528
3.95,5,16.026187
-0.05,5,16.027837
3.95,5,16.246736
5.93,7,16.249101
3.95,5,16.250755
1.97,3,16.251775
3.93,7,16.254054
-0.06,6,16.256512
3.91,9,16.259494
1.97,3,16.260532
1.97,3,16.261556
1.92,8,16.264103
1.94,6,16.26603
1.97,3,16.267051
3.91,9,16.269895
1.97,3,16.270907
1.97,3,16.271916
1.93,7,16.274145
5.91,9,16.276988
1.97,3,16.277993
1.97,3,16.278996
1.97,3,16.280004
1.94,6,16.281941
13.87,13,16.285973
1.94,6,16.525011
1.97,3,16.526173
1.97,3,16.527221
5.93,7,16.5295
1.94,6,16.531522
1.97,3,16.532994
1.97,3,16.534348
1.97,3,16.535543
3.95,5,16.537229
-0.01,1,16.537632
1.96,4,16.538966
1.97,3,16.540011
1.97,3,16.541034
3.95,5,16.54267
3.95,5,16.544301
3.92,8,16.546824
1.94,6,16.548741
3.94,6,16.55066
-0.01,1,16.551052
1.93,7,16.553489
5.93,7,16.556147
1.96,4,16.557583
3.93,7,16.559959
1.97,3,16.561022
13.9,10,16.5643
1.97,3,16.565348
3.92,8,16.568166
3.95,5,16.774605
3.92,8,16.777664
1.96,4,16.779554
3.92,8,16.782308
3.95,5,16.784387
13.91,9,16.787749
1.93,7,16.790106
3.95,5,16.791785
5.93,7,16.794234
1.97,3,16.795455
3.95,5,16.797478
13.91,9,16.800433
1.94,6,16.802461
1.97,3,16.803748
5.9,10,16.807161
3.95,5,16.808833
-0.01,1,16.809243
5.91,9,16.812305
3.95,5,16.814167
1.97,3,16.815225
1.97,3,16.816249
3.95,5,16.817899
3.95,5,16.819595
13.88,12,17.032322
1.97,3,17.03344
1.97,3,17.034493
3.91,9,17.037784
3.95,5,17.039782
3.95,5,17.041759
1.97,3,17.043018
13.91,9,17.046192
-0.02,2,17.046968
1.97,3,17.048507
-0.06,6,17.050674
3.95,5,17.05273
5.93,7,17.055114
1.96,4,17.056553
1.97,3,17.057776
1.97,3,17.05904
13.87,13,17.063292
5.9,10,17.066496
1.95,5,17.068484
3.94,6,17.070571
-0.02,2,17.071318
3.94,6,17.073311
3.95,5,17.318325
13.89,11,17.322095
13.88,12,17.325961
1.97,3,17.326998
3.95,5,17.329118
1.96,4,17.330535
3.95,5,17.332202
1.97,3,17.333218
-0.01,1,17.333618
5.93,7,17.335942
3.95,5,17.337581
1.97,3,17.338591
3.95,5,17.340217
3.95,5,17.341854
1.97,3,17.342906
3.95,5,17.344535
1.97,3,17.345577
1.97,3,17.346585
1.97,3,17.347601
1.95,5,17.349227
5.87,13,17.35333
3.95,5,17.354953
5.87,13,17.35908
1.97,3,17.360154
3.95,5,17.611358
5.9,10,17.614682
3.92,8,17.617331
1.95,5,17.618992
3.95,5,17.621289
3.95,5,17.623181
1.97,3,17.624243
13.88,12,17.628329
1.97,3,17.629519
3.95,5,17.63149
3.94,6,17.633574
1.97,3,17.634608
1.97,3,17.63564
5.92,8,17.638213
1.97,3,17.639261
-0.05,5,17.641399
3.95,5,17.64324
1.97,3,17.644293
3.94,6,17.646274
3.95,5,17.647927
5.92,8,17.651106
1.92,8,17.654275
1.93,7,17.888297
3.95,5,17.890135
1.93,7,17.892411
3.95,5,17.894055
-0.05,5,17.89569
1.97,3,17.896703
3.92,8,17.899253
1.92,8,17.901821
3.95,5,17.903439
1.97,3,17.904447
3.95,5,17.90607
13.88,12,17.910219
5.93,7,17.912483
