#{"t_start": 1787334052.112553, "env_id": "None"}
r,l,t
1.94,6,5.198719
3.95,5,5.200318
1.97,3,5.201319
1.96,4,5.324472
1.97,3,5.325588
-0.03,3,5.326601
1.95,5,5.328211
3.94,6,5.330101
3.95,5,5.33169
-0.02,2,5.332382
3.94,6,5.334269
1.97,3,5.335247
3.95,5,5.336829
1.97,3,5.337801
3.95,5,5.339371
1.97,3,5.340351
1.96,4,5.34163
-0.02,2,5.342409
1.97,3,5.3435
1.97,3,5.344523
1.96,4,5.345832
-0.01,1,5.346236
1.93,7,5.348447
-0.02,2,5.349137
1.96,4,5.350431
-0.02,2,5.351119
1.97,3,5.352108
-0.02,2,5.352795
1.96,4,5.354085
1.96,4,5.355367
-0.03,3,5.356346
1.97,3,5.357331
1.96,4,5.358612
3.95,5,5.3602
1.96,4,5.361496
5.91,9,5.364296
1.97,3,5.365279
3.95,5,5.496112
1.97,3,5.497174
1.95,5,5.498749
13.86,14,5.50297
5.93,7,5.505534
1.97,3,5.506624
1.97,3,5.507653
-0.02,2,5.508456
-0.03,3,5.509778
3.95,5,5.511617
1.97,3,5.512657
5.93,7,5.515018
1.93,7,5.517266
1.95,5,5.518878
3.94,6,5.520778
1.93,7,5.522987
5.87,13,5.527062
1.95,5,5.528663
1.97,3,5.529674
-0.01,1,5.530072
5.93,7,5.532263
1.95,5,5.533842
-0.01,1,5.534229
1.93,7,5.536404
3.92,8,5.703112
1.93,7,5.705367
3.95,5,5.706952
13.87,13,5.711279
5.88,12,5.715144
1.97,3,5.716167
5.92,8,5.718871
5.92,8,5.72165
1.97,3,5.722685
13.91,9,5.725575
1.97,3,5.726785
13.9,10,5.730135
1.95,5,5.731871
1.92,8,5.734411
3.94,6,5.736381
3.94,6,5.738295
3.95,5,5.739897
1.96,4,5.741193
3.93,7,5.88999
1.9,10,5.893936
3.92,8,5.896678
5.91,9,5.899565
5.9,10,5.902644
-0.05,5,5.904211
5.92,8,5.906692
1.92,8,5.909618
0.97,3,5.910905
5.92,8,5.913562
-0.07,7,5.915852
1.96,4,5.917195
1.92,8,5.919804
1.97,3,5.920834
3.93,7,5.923284
1.97,3,5.92433
5.92,8,5.926854
-0.02,2,5.927548
1.94,6,5.929442
3.91,9,5.932217
3.94,6,6.062087
3.95,5,6.063783
1.97,3,6.064787
1.9,10,6.067864
5.93,7,6.070471
-0.02,2,6.071318
1.97,3,6.072406
-0.02,2,6.073131
1.97,3,6.074165
3.95,5,6.0758
3.94,6,6.077793
1.93,7,6.080147
-0.01,1,6.08061
3.95,5,6.082321
-0.04,4,6.083667
1.95,5,6.08564
-0.07,7,6.087884
3.84,16,6.093079
1.97,3,6.094143
1.94,6,6.096054
5.91,9,6.09886
13.9,10,6.102038
1.95,5,6.272745
3.95,5,6.27457
-0.01,1,6.274978
1.94,6,6.276919
-0.01,1,6.27734
1.97,3,6.27849
5.93,7,6.280843
5.93,7,6.283108
-0.01,1,6.283521
1.94,6,6.285413
1.97,3,6.286486
5.86,14,6.290743
3.92,8,6.293216
3.93,7,6.295648
3.94,6,6.297601
-0.05,5,6.299192
1.95,5,6.300791
3.95,5,6.302388
1.97,3,6.303387
3.95,5,6.30498
3.95,5,6.306571
1.97,3,6.30756
-0.01,1,6.307945
1.96,4,6.309225
-0.51,51,6.500264
1.97,3,6.501363
1.97,3,6.502392
3.95,5,6.504017
1.97,3,6.505021
3.91,9,6.507811
3.91,9,6.510601
1.97,3,6.511593
3.94,6,6.513477
5.9,10,6.516557
1.97,3,6.517547
1.91,9,6.520313
3.95,5,6.521898
-0.06,6,6.523789
1.93,7,6.525967
1.97,3,6.526962
13.91,9,6.529754
3.95,5,6.835555
5.93,7,6.838045
5.9,10,6.841108
1.92,8,6.844021
3.95,5,6.845803
13.91,9,6.848716
-0.01,1,6.849139
-0.02,2,6.849862
-0.03,3,6.850889
1.97,3,6.851902
3.92,8,6.854468
